event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
AFG69527,"21 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kapisa,Nijrab,,Nijrab,34.9789,69.5724,1,"Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 21 February 2025, two Taliban members were killed and three were wounded following an attack on the district building (likely at the center of the district) by National Resistance Front militants in Nijrab district, Kapisa. No casualties from NRF.",2,,1740519966
AFG69507,"20 February 2025",2025,2,"Strategic developments","Strategic developments",Arrests,"Military Forces of Afghanistan (2021-)",,"State forces","Islamic State Khorasan Province (ISKP)","Police Forces of Afghanistan (2021-)","Rebel group","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Baghlan,Pul-i-Khumri,,Pul-i-Khumri,35.9446,68.7151,1,Twitter,"New media","Around 20 February 2025 (as reported), one ISKP member, who was a Taliban member for over two decades and had still worked as a Taliban policeman, was arrested while trying to plant a bomb in the police chief office of PD1 in Pul-i-Khumri city, Baghlan. He was the head of the CID in PD1 of the city when he was arrested. He admitted to joining the ISKP during the preliminary interrogation.",0,,1740519966
AFG69498,"19 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Afghanistan Freedom Front",,"Rebel group","Military Forces of Afghanistan (2021-)","Civilians (Afghanistan)","State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Balkh,Mazar-e-Sharif,,Mazar-e-Sharif,36.709,67.1109,1,"Amu TV; Hasht-e Subh; Twitter","New media-National","On 19 February 2025, two Taliban members including a commander who was the head of Taliban members in PD2 were killed and two were wounded when a magnetic bomb attached to a vehicle exploded near the Kifayat Exchange Market in Mazar-e-Sharif city, Balkh. Afghanistan Freedom Front claimed the attack. At least three civilians were also wounded.",2,,1740519966
AFG69506,"19 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)",,Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Badakhshan,Shiki,,Jarf,38.2381,70.5461,2,"Hasht-e Subh; Shafaqna",National,"On 19 February 2025, a Taliban member shot and wounded six people during a football match between the Ghamai and Obaghan villages in Shiki district [coded to Jarf], Badakhshan. A confrontation between two Taliban groups followed after one player hit the ball towards the goal and it accidentally hit one of the Taliban members in the face. Some sources claimed the two groups clashed, while others said they simply prepared to do so as they have been at odds in the past over gold mines.",0,,1740519966
AFG69509,"19 February 2025",2025,2,"Political violence",Battles,"Armed clash","Military Forces of Pakistan (2022-)",,"External/Other forces","Military Forces of Afghanistan (2021-)",,"State forces","State forces-External/Other forces",,4,"Caucasus and Central Asia",Afghanistan,Nangarhar,"Dur Baba",,"Dur Baba",34.0397,70.93,2,Twitter,"New media","Around 19 February 2025 (as reported), Pakistani forces and the Taliban clashed after Pakistani forces shelled the Sasobi Kandaw area of Dur Baba district, Nangarhar. Some residents left the area along the Durand Line due to the clashes. Casualties unknown.",0,,1740519966
AFG69526,"19 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Aamaj News; Amu TV; Etilaat e Roz; Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 19 February 2025, National Resistance Front attacked and clashed with Taliban members near the Ministry of Interior near the road to the airport in PD15, Kabul city. An explosion was reported in the area, likely as part of the clashes as well. No NRF casualties. Unconfirmed number of fatalities coded as 3 (NRF claimed four Taliban members were killed and three Taliban members were wounded, while two civilians were wounded by Taliban fire).",3,,1740519966
AFG69537,"19 February 2025",2025,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Afghanistan)",,"Political militia","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Political militia",,4,"Caucasus and Central Asia",Afghanistan,Helmand,Lashkargah,,Lashkargah,31.5938,64.3716,1,"Amu TV",National,"On 19 February 2025, an unknown group and the Taliban engaged in clashes in the Safiyan area of PD7, Lashkargah city, Helmand. Casualties unknown.",0,,1740519966
AFG69504,"18 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","LGBTQ+ (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Khost,Baak,,Baak,33.5317,70.0214,2,"Etilaat e Roz; Rukhshana Media",National,"On 18 February 2025, three individuals were publicly flogged with 39 lashes each and sentenced to 1-5 years in prison by the Taliban in Baak district, Khost. An unknown number of them were accused of homosexuality.",0,,1740519966
AFG69505,"18 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)",,Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Kunduz,Kunduz,,Kunduz,36.729,68.857,3,"Aamaj News; Amu TV",National,"On 18 February 2025, a civil society activist was detained, beaten, and tortured by Taliban members in front of his wife and children in Kunduz province. The motive behind his arrest and his whereabouts remained unknown.",0,,1740519966
AFG69514,"18 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","LGBTQ+ (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Faryab,Maimana,,Maimana,35.9213,64.7841,3,"Etilaat e Roz; Rukhshana Media",National,"On 18 February 2025, three individuals including a woman were publicly flogged with 39 lashes each and sentenced to 12-18 months in prison by the Taliban in Faryab (coded to Maimana) province. One of them was accused of homosexuality.",0,,1740519966
AFG69525,"18 February 2025",2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Takhar,Taluqan,,Taluqan,36.7341,69.5336,1,"National Resistance Front of Afghanistan",Other,"On 18 February 2025, National Resistance Front militants launched a rocket attack on a Taliban base in Taluqan city, Takhar, resulting in wounding of two Taliban members. No NRF casualties.",0,,1740519966
AFG69530,"18 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","National Resistance Front","Afghanistan Freedom Front","Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kunduz,Kunduz,,Kunduz,36.729,68.857,1,"Aamaj News; Hasht-e Subh; National Resistance Front of Afghanistan; Twitter","Other-New media","On 18 February 2025, a Taliban member was killed, and two others were wounded in an explosion caused by the detonation of a hand grenade (unknown if hurled or planted) by National Resistance Front militants on a Taliban Ranger vehicle at their checkpoint near Bala Hisar Square in PD5 of Kunduz city. No NRF casualties. Afghanistan Freedom Front claimed an attack on the same area on the same date on Taliban and said three Taliban members were killed and two were wounded. Lowest fatalities count coded as 1.",1,,1740519966
AFG69497,"17 February 2025",2025,1,"Political violence","Explosions/Remote violence",Grenade,"Afghanistan Freedom Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kunduz,Kunduz,,Kunduz,36.729,68.857,1,"Aamaj News; Hasht-e Subh; Kokcha Press; Twitter","New media-National","On 17 February 2025, two Taliban members were killed and three others were wounded in a grenade attack carried out by Afghanistan Freedom Front militants at a Taliban checkpoint at General Abdul Raziq Shaheed Square in Kunduz city. AFF claimed that the targeted Taliban members were involved in inspecting people's phones at the checkpoint.",2,,1740519966
AFG69499,"17 February 2025",2025,1,"Political violence",Battles,"Armed clash","Afghanistan Freedom Front",,"Rebel group","Police Forces of Afghanistan (2021-) General Directorate of Intelligence",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Takhar,"Dashti Qala",,"Dashti Qala",37.2216,69.4975,2,"Amu TV; Hasht-e Subh; Twitter","New media-National","On 17 February 2025, the head of intelligence operations for Dashti Qala district was killed and his bodyguard was wounded in an ambush attack by Afghanistan Freedom Front militants in Khairabad village of Dashti Qala district, Takhar. AFF claimed that three M4 rifles, a Kalashnikov, and a Brita rifle were also seized from the Taliban. The victim was the nephew of the Taliban's police chief in Khwaja Ghar district of Takhar. According to sources, he had killed four former police officers during the republic government and joined the Taliban with military equipment.",1,,1740519966
AFG69503,"17 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","Labor Group (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Nangarhar,Jalalabad,,Jalalabad,34.4265,70.4515,1,"Etilaat e Roz",National,"On 17 February 2025, five people, including a money changer, were injured due to Taliban aerial gunfire at the exchange market in Jalalabad city, Nangarhar. The incident occurred when two money changers clashed over a financial dispute, prompting the Taliban to intervene and fire shots into the air, resulting in injuries.",0,,1740519966
AFG69511,"17 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","LGBTQ+ (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Ghazni,Jaghuri,,Jaghuri,33.5748,68.1941,2,"Afghan Islamic Press News Agency; Etilaat e Roz",National,"On 17 February 2025, 5 individuals including four men and one woman were publicly flogged between 30-39 lashes and sentenced to 2-5 years in prison by the Taliban in Jaghuri district, Ghazni. An unknown number of them were accused of homosexuality.",0,,1740519966
AFG69523,"17 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kunduz,"Ali Abad",,"Ali Abad",36.5211,68.8998,2,"Aamaj News; Hasht-e Subh; Kokcha Press; National Resistance Front of Afghanistan",Other-National,"On 17 February 2025, a clash erupted between National Resistance Front militants and Taliban forces following a rocket attack launched by NRF on a Taliban highway checkpoint in the Bagh Angoor area of Ali Abad district, Kunduz. Three Taliban members were killed, one was wounded, and a Taliban vehicle was destroyed. NRF claimed to have also seized two weapons and a Taliban communication device. No casualties from NRF. Taliban sources denied the incident, calling it media propaganda.",3,,1740519966
AFG69524,"17 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kunduz,Kunduz,,Kunduz,36.729,68.857,1,"National Resistance Front of Afghanistan",Other,"On 17 February 2025, three Taliban members were wounded in an attack by National Resistance Front militants towards Khan Abad, near the gate area of Kunduz city. No NRF casualties.",0,,1740519966
AFG69528,"17 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Police Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Badakhshan,Yaftal-e-Sufla,,Yaftal-e-Sufla,37.2843,70.416,1,"National Resistance Front of Afghanistan",Other,"On 17 February 2025, three Taliban members were wounded and their vehicles were damaged following an attack by National Resistance Front militants on a Taliban police headquarters in Yaftal-e-Sufla (Yaftal-e Payan) district, Badakhshan. No casualties from NRF.",0,,1740519966
AFG69538,"17 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)",,"Political militia",,,,"Political militia only",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Amu TV; Hasht-e Subh; RFE/RL; Shafaqna; Zawia News",Subnational-National,"On 17 February 2025, an explosion occurred near the main gate of Kabul International Airport in PD15 of Kabul city. The Taliban denied reports of the explosion. No further details were available regarding the target or nature of the explosion. Casualties unknown.",0,,1740519966
AFG69508,"16 February 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of Pakistan (2022-)",,"External/Other forces","Military Forces of Afghanistan (2021-)",,"State forces","State forces-External/Other forces",,4,"Caucasus and Central Asia",Afghanistan,Nangarhar,Lalpoor,,Lalpoor,34.2379,71.0445,2,"Afghan Islamic Press News Agency; Hasht-e Subh; RFE/RL; Twitter","New media-National","On 16 February 2025, Taliban and Pakistani forces clashed in Lalpoor district, Nangarhar, after the Taliban attempted to move a tank and set up a position for it at their post, prompting Pakistani forces to open fire. The Taliban claimed they were digging trenches to strengthen their checkpoints in the district. The clash lasted about two hours, during which Taliban forces targeted two Pakistani checkpoints. The Taliban reported no casualties on their side, while the overall number of casualties remained unknown.",0,,1740519966
AFG69510,"16 February 2025",2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Pakistan (2022-)",,"External/Other forces","TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Rebel group-External/Other forces",,4,"Caucasus and Central Asia",Afghanistan,Paktika,Barmal,,Barmal,32.7076,69.2784,2,"Twitter; Zawia News","New media-National","On 16 February 2025, Pakistani jets carried out airstrikes, bombing TTP hideouts in Barmal district, Paktika, in response to an attack on Pakistani soldiers in North Waziristan. Pakistani forces also conducted targeted operations in North Waziristan and Paktia, claiming that 12-15 TTP militants were killed in these three attacks. The Taliban denied the claims. Some Pakistani sources reported that civilian homes and people were also targeted during the strikes. 12 fatalities split across 3 attacks in three regions (Paktia, Paktika, and North Waziristan). 4 fatalities coded to this event.",4,,1740519966
AFG69512,"16 February 2025",2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Pakistan (2022-)",,"External/Other forces","TTP: Tehreek-i-Taliban Pakistan",,"Rebel group","Rebel group-External/Other forces",,4,"Caucasus and Central Asia",Afghanistan,Paktia,Gardez,,Gardez,33.5974,69.2259,3,"Twitter; Zawia News","New media-National","On 16 February 2025, Pakistani jets carried out airstrikes, bombing TTP hideouts in Paktia (coded to Gardez) province, in response to an attack on Pakistani soldiers in North Waziristan. Pakistani forces also conducted targeted operations in North Waziristan and Paktika, claiming that 12-15 TTP militants were killed in these three attacks. The Taliban denied the claims. Some Pakistani sources reported that civilian homes and people were also targeted during the strikes. 12 fatalities split across 3 attacks in three regions (Paktia, Paktika, and North Waziristan). 4 fatalities coded to this event.",4,,1740519966
AFG69522,"16 February 2025",2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kapisa,"Hissa-e-Duwumi Kohistan",,Kohistan,35.1167,69.3,1,"Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 16 February 2025, two Taliban members were killed and two others were wounded in an attack (likely conducted using shelling based on the video) by National Resistance Front militants targeting a Taliban base in Hissa-e-Duwumi Kohistan district headquarters (Kohistan), Kapisa. No NRF casualties.",2,,1740519966
AFG69532,"16 February 2025",2025,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Police Forces of Afghanistan (2021-) General Directorate of Intelligence",,"State forces","Civilians (Afghanistan)","Labor Group (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Aamaj News; Etilaat e Roz; Hasht-e Subh",National,"On 16 February 2025, Taliban intelligence arrested a poet and cultural activist from the Aria Town area of Kabul city. His whereabouts remained unknown. He was a resident of Panjshir province, and he had worked in the logistics and administrative departments in Kabul. The motive behind his arrest is unclear, but he had mostly written poetry about the struggles of Ahmad Shah Massoud, the Panjshir Valley, and the history of Afghanistan resistance against oppression and foreign invasions.",0,,1740519966
AFG69533,"16 February 2025",2025,2,Demonstrations,Protests,"Peaceful protest","Protesters (Afghanistan)","Labor Group (Afghanistan)",Protesters,,,,"Protesters only",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"TOLO News",National,"Around 16 February 2025 (as reported), a group of retired government employees staged a protest in front of the pension office in Kabul city, demanding the immediate payment of their pensions. They expressed frustration over the severe economic hardships they had faced over the past four years. The Taliban had dismantled the pension system in March 2024 but later issued a decree in December 2024, instructing special courts to facilitate pension payments (coded separately). However, no announcement was made regarding the timing of these payments.",0,"crowd size=no report",1740519966
AFG69494,"15 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Afghanistan Freedom Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kunduz,"Khan Abad",,Bu'in,36.7118,69.057,1,"Hasht-e Subh; Twitter","New media-National","On 15 February 2025, two Taliban members were killed and two others were wounded in an explosion conducted by Afghanistan Freedom Front militants at a Taliban checkpoint in the Bu'in village of Khan Abad district, Kunduz. AFF claimed that the targeted members had been harassing women and young people for the past month under the pretense of inspecting rickshaws and passenger vehicles.",2,,1740511234
AFG69495,"15 February 2025",2025,1,"Political violence",Battles,"Armed clash","Afghanistan Freedom Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Takhar,Taluqan,,Taluqan,36.7341,69.5336,1,"Aamaj News; Hasht-e Subh; Twitter","New media-National","On 15 February 2025, a clash erupted between Afghanistan Freedom Front militants and Taliban forces in PD1 of Taluqan city, Takhar, following an explosion carried out by AFF at the Taliban recruitment command. The fighting lasted for 10 minutes, resulting in the killing of Taliban members and injuries to two others, including the bodyguard of the Taliban's special forces commander of Kandahar. No casualties from AFF. Unconfirmed number of fatalities coded as 3 (AFF claimed the killing of 4 Taliban members). AFF claimed to have used both light and heavy weapons during the clash. AFF also claimed that the Taliban had summoned 94 young people from Takhar to this command over the past week to join the Taliban army.",3,,1740519966
AFG69513,"15 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Farah,Farah,,Farah,32.3745,62.1164,1,"Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 15 February 2025, two Taliban members were killed and three others were wounded following an attack by National Resistance Front militants in PD4 of Farah city. No casualties from NRF.",2,,1740519966
AFG69515,"15 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 15 February 2025, three Taliban members were killed, two others were wounded, and a Taliban vehicle was destroyed in an ambush attack (likely conducted using remote explosives based on the video) by National Resistance Front militants on the Taliban's Yarmouk Unit convoy between Baraki Intersection and Karte Parwan in PD4 of Kabul city. No NRF casualties.",3,,1740519966
AFG69516,"15 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 15 February 2025, Taliban members were killed and their Land Cruiser vehicle was destroyed in an attack by National Resistance Front militants in the Bet-Khak area of PD12 of Kabul city. Unconfirmed number of fatalities coded as 3 (NRF claimed the killing of 5 Taliban members). No NRF casualties.",3,,1740519966
AFG69517,"15 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kunduz,Kunduz,,Kunduz,36.729,68.857,1,"Aamaj News; Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 15 February 2025, a clash broke out between National Resistance Front militants and Taliban forces in Mullah Sardar village near Imam Sahib port in PD7 of Kunduz city. The clash lasted for half an hour, resulting in the killing of three Taliban members, including a key block commander, and the wounding of two others. The NRF claimed to have used both light and heavy weapons during the clash. No NRF casualties. Local sources confirmed hearing sporadic gunfire.",3,,1740519966
AFG69518,"15 February 2025",2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","Government of Afghanistan (2021-); Women (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Etilaat e Roz",National,"On 15 February 2025, the Taliban's technical deputy of the passport office in Kabul city entered the women's branch, insulted the staff, and kicked a female employee's desk, causing her to suffer an eye injury. He then gave the injured employee 1,000 Afghanis for treatment. Female employees complained several times of his insults to the director general of the passport office.",0,"women targeted: government officials",1740519966
AFG69519,"15 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kunduz,Kunduz,,Kunduz,36.729,68.857,1,"National Resistance Front of Afghanistan",Other,"On 15 February 2025, two Taliban members were killed, four others were wounded, and a Taliban vehicle was destroyed in an attack (likely conducted using remote explosives based on the video) by National Resistance Front militants targeting a Taliban patrol vehicle in PD2 of Kunduz city. No NRF casualties.",2,,1740519966
AFG69520,"15 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kabul,"Mir Bacha Kot",,"Mir Bacha Kot",34.75,69.119,2,"National Resistance Front of Afghanistan",Other,"On 15 February 2025, two Taliban members were killed, another was wounded, and a Taliban Afros vehicle along with a Taliban communication device were destroyed in an ambush attack (likely conducted using remote explosives based on the video) by National Resistance Front militants along the Kabul-Parwan highway near Bagh Wali and Qala Nusrat in Mir Bacha Kot district, Kabul. No NRF casualties.",2,,1740519966
AFG69521,"15 February 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Baghlan,Pul-i-Khumri,,Pul-i-Khumri,35.9446,68.7151,3,"Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 15 February 2025, one Taliban member was killed and another was wounded following an attack (likely conducted using remote explosives based on the video) by National Resistance Front militants on a Taliban checkpoint on the Baghlan (coded to Pul-i-Khumri) province highway. No casualties from NRF.",1,,1740519966
AFG69536,"15 February 2025",2025,1,"Strategic developments","Strategic developments",Other,"Unidentified Armed Group (Afghanistan)",,"Political militia","Civilians (Afghanistan)",,Civilians,"Political militia-Civilians",,4,"Caucasus and Central Asia",Afghanistan,Farah,Farah,,Farah,32.3745,62.1164,1,"1TV (Afghanistan); Afghan Islamic Press News Agency",National,"Explosive remnants of war: On 15 February 2025, a child was killed when an unexploded ordnance, a remnant of war, detonated while he was playing with it in PD4 of Farah city.",1,,1740519966
AFG69467,"14 February 2025",2025,1,"Political violence",Battles,"Armed clash","Afghanistan Freedom Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Badghis,Qadis,,Qadis,34.8085,63.43,1,"Hasht-e Subh; Twitter","New media-National","On 14 February 2025, a clash broke out between Afghanistan Freedom Front militants and Taliban forces in the center of Qadis district, Badghis, following an explosion carried out by AFF at the Taliban district governor's office. The clash lasted for half an hour and resulted in the killing of three Taliban members and wounding of two others. No casualties from AFF. AFF claimed that the Taliban district governor of Qadis was present during the clash, and his fate remained unknown.",3,"local administrators",1740511234
AFG69496,"14 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Takhar,Taluqan,,Taluqan,36.7341,69.5336,1,"Aamaj News; Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 14 February 2025, a clash erupted between National Resistance Front militants and Taliban forces following an explosion carried out by NRF at a security outpost of the Taliban Statistics Department near Dr. Hussein Shaheed School in Taluqan city, Takhar. Two Taliban members were killed, another was wounded, and a Taliban vehicle was also destroyed. No casualties from NRF. Local sources confirmed hearing both an explosion and subsequent gunfire.",2,,1740519966
AFG69529,"14 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Police Forces of Afghanistan (2021-) General Directorate of Intelligence",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Badghis,Qadis,,Qadis,34.8085,63.43,1,"National Resistance Front of Afghanistan",Other,"On 14 February 2025, a Taliban intelligence officer was killed and two others were wounded following an attack by National Resistance Front militants targeting the Taliban's intelligence headquarters in Qadis district, Badghis. No casualties from NRF.",1,,1740519966
AFG69535,"14 February 2025",2025,1,"Political violence","Explosions/Remote violence",Grenade,"Unidentified Armed Group (Afghanistan)",,"Political militia","Civilians (Afghanistan)","Shiite Muslim Group (Afghanistan)",Civilians,"Political militia-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Samangan,Aybak,,Aybak,36.2647,68.0155,1,"Khaama Press; TRACterrorism","New media-National","On 14 February 2025, unidentified assailants threw a hand grenade at Shia worshipers during Friday prayers at the Joy Prison Mosque in Aybak city, Samangan, injuring four worshipers. The Taliban claimed the incident stemmed from personal grievances with the mosque's community and stated that two individuals had been arrested along with a firearm in connection with the attack.",0,,1740519966
AFG69468,"13 February 2025",2025,1,"Political violence",Battles,"Armed clash","Islamic State Khorasan Province (ISKP)",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Afghan Islamic Press News Agency; Al Jazeera; Amu TV; Emergency; Etilaat e Roz; Hasht-e Subh; Kabul Now; Pajhwok Afghan News; RFE/RL; TOLO News; Twitter","Other-New media","On 13 February 2025, Taliban guards shot and killed an ISKP suicide bomber near the entrance of the Ministry of Urban Development and Housing in Kabul city. One person was killed and five, including Taliban's Deputy Minister for Technical Affairs at the Ministry, and civilians were wounded due to the suicide bomber's bomb exploding. ISKP claimed 10 were killed and wounded. Fatalities coded as two (with the suicide bomber) based on the lowest estimate.",2,,1739920958
AFG69472,"13 February 2025",2025,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Herat,Guzera,,Guzera,34.2122,62.2124,2,"National Resistance Front of Afghanistan",Other,"On 13 February 2025, one Taliban member of the reconnaissance and intelligence unit of the 1st Brigade of the Al-Farooq Corps was killed and one was wounded following an attack on their checkpoint by National Resistance Front militants in the Pashtun Zarghun area of Guzera district, Herat. No casualties from NRF.",1,,1739920958
